reviewer,data_extractor,acc_no,author,title,date,journal,doi,obs_no,auth_type,lat_N,lat_S,long_W,long_E,region,country,prev,comp,retal,genus,species,pop_trend,fish_type,fish_gear,fish_spp,fish_mult,fish_loc,method,source,x_norm,x_int,n_int,x_dmg,sd_dmg,n_dmg,economic,gear_comment,comments,to_discuss
KD,JJ,acc_024,"Bell C., Shaughnessy P., Morrice M., Stanley B.",Marine mammals and Japanese long-line fishing vessels in Australian waters: Operational interactions and sightings,2006,Pacific Conservation Biology,10.1071/PC060031,obs_1,government,-38 00 00,-45 00 00,140 00 00,150 00 00,Australian Fishing Zone (AFZ) - Tasmania (sector G),Australia,0,0,0,NA,NA,NA,large,line,NA,1,off,obs_onboard,Results,1,0.007438895,941,NA,NA,NA,NA,NA,"Operational interactions discussed at length for mammals generally. Well defined observer hours etc. However, operational interactions for 6/7 pinniped were entanglement. So x_int is 7 interaction from 941 observer days but these include entanglement. All in zone G of AFZ.",
KD,JJ,acc_028,"Bombau A., Szteren D.","Seasonal variability of South American fur seals (Arctocephalus australis) and Sea lions (Otaria flavescens) in two haulouts and interactions with small-scale fisheries off the coast of Montevideo, Uruguay",2017,Aquatic Mammals,10.1578/AM.43.5.2017.479,obs_1,academia,-34 50 00,-35 10 00,-56 10 00,-55 50 00,Montevideo,Uruguay,0,0,0,Otaria,flavescens,1,small,net,NA,1,near,obs_onboard,T1; F7,0.041666667,0.353333333,50,0.006933333,0.25540817,50,0,,Here damage quantified as the Percentage Predation per unit effort and the percentage of catch lost. There are 50 observation hours and so ~ 2.1 observation days.,
KD,JJ,acc_030,"Bordino P., Kraus S., Albareda D., Fazio A., Palmerio A., Mendez M., Botta S.",Reducing incidental mortality of Franciscana dolphin Pontoporia blainvillei with acoustic warning devices attached to fishing nets,2002,Marine Mammal Science,10.1111/j.1748-7692.2002.tb01076.x,obs_1,ngo,-36 30 00,-36 50 00,-56 42 00,-56 30 00,Cabo San Antonio,Argentina,1,0,0,Otaria,flavescens,NA,small,net,NA,1,near,obs_onboard,F4,1.079166667,NA,NA,0.374285714,0.184857429,309,0,Damage percentage to nets.,Paper is focused on reducing dolphin bycatch with sonic prevention but quantifies sea lion interactions as the percentage of gillnets with damage from sealions through time. These are from two treatments (prevention vs. no prevention) just using no prevention. Total number of nets given in Table 1.,
KD,JJ,acc_044,"Carretta J.V., Barlow J.","Long-term effectiveness, failure rates, and ""dinner bell"" properties of acoustic pingers in a gillnet fishery",2011,Marine Technology Society Journal,10.4031/MTSJ.45.5.3,obs_1,fisheries,36 30 00,30 00 00,-125 00 00,-117 00 00,California,United States,0,0,0,Zalophus,californianus,NA,large,net,Xiphias_gladius,0,off,obs_onboard,F5,0.583333333,NA,NA,0.033992897,0.012418702,1971,0,No quantitative info on gear damage given here.,"Depredation estimates are not differentiated by marine mammal speices. Need to email authors. Seems mostly to reference sea lions though. Damage per sets. Level of damage unknown. Currently keeping both obs including pinger use, as they were in wide use by the fishery. Conversion is done using info they report on the range of soak times (8-20 hr), which we convert to the average of 14hr, so just over half a day for each set on average.",
KD,JJ,acc_053,"Cosgrove R., Gosch M., Reid D., Sheridan M., Chopin N., Jessopp M., Cronin M.",Seal depredation in bottom-set gillnet and entangling net fisheries in Irish waters,2015,Fisheries Research,10.1016/j.fishres.2015.08.002,obs_1,fisheries,54 20 00,50 40 00,-12 00 00,-08 00 00,"West and South West Coast, Dingle, Keryy, Mayo",Ireland,1,0,0,Halichoerus,grypus,2,large,net,Pollachius,0,both,obs_onboard,T2,1,NA,NA,0.1773,7.29,91,0,,"Bottom Set Gillnets. Mentions Gray Seals and Harbor seals, but depredation data not clear in terms of pinniped species. Percentage of the fish (in terms of number) that are damaged. There is also estimates of DPUE. Report days at sea for each vessel - monkfish only had vessels 2 and 3 so less days.",
KD,JJ,acc_053,"Cosgrove R., Gosch M., Reid D., Sheridan M., Chopin N., Jessopp M., Cronin M.",Seal depredation in bottom-set gillnet and entangling net fisheries in Irish waters,2015,Fisheries Research,10.1016/j.fishres.2015.08.002,obs_2,fisheries,54 20 00,50 40 00,-12 00 00,-08 00 00,"West and South West Coast, Dingle, Keryy, Mayo",Ireland,1,0,0,Halichoerus,grypus,2,large,net,Merluccius_merluccius,0,off,obs_onboard,T2,1,NA,NA,0.1022,3.08,91,0,,"Bottom Set Gillnets. Mentions Gray Seals and Harbor seals, but depredation data not clear in terms of pinniped species. Percentage of the fish (in terms of number) that are damaged. There is also estimates of DPUE. Report days at sea for each vessel - monkfish only had vessels 2 and 3 so less days.",
KD,JJ,acc_053,"Cosgrove R., Gosch M., Reid D., Sheridan M., Chopin N., Jessopp M., Cronin M.",Seal depredation in bottom-set gillnet and entangling net fisheries in Irish waters,2015,Fisheries Research,10.1016/j.fishres.2015.08.002,obs_3,fisheries,54 20 00,50 40 00,-12 00 00,-08 00 00,"West and South West Coast, Dingle, Keryy, Mayo",Ireland,1,0,0,Halichoerus,grypus,2,large,net,Lophius,0,near,obs_onboard,T2,1,NA,NA,0.5893,0.65,50,0,,"Bottom Set Gillnets. Mentions Gray Seals and Harbor seals, but depredation data not clear in terms of pinniped species. Percentage of the fish (in terms of number) that are damaged. There is also estimates of DPUE. Report days at sea for each vessel - monkfish only had vessels 2 and 3 so less days.",
KD,JJ,acc_062,"De La Torriente A., Quinones R.A., Miranda-Urbina D.A., Echevarria F.",South American sea lion and spiny dogfish predation on artisanal catches of southern hake in fjords of Chilean Patagonia,2010,ICES Journal of Marine Science,10.1093/icesjms/fsp235,obs_1,academia,-42 00 00,-42 20 00,-72 50 00,-72 30 00,"Patagonia, Gulf of Ancud and the Comau Fjord",Chile,0,0,1,Otaria,flavescens,NA,small,line,Merluccius_australis,0,near,obs_onboard,Results,5.5,0.5625,48,0.016,NA,264,0,"Discussion of the gear losses, with losses in 21% of trips amounting to 380 hooks.","Operational interactions here defined from the proportion of fishing events (time between setting and retreiving the line) with some sort of interaction. Very well presented study. They also do some estimates if the lost lines (380 hooks total) were to have been predated, which brings x_dmg to 2.6%. Median of 5.5 days for each fishing event (4-7 days) so using that as the normalisation.",
KD,JJ,acc_063,"De Maria M., Barboza F.R., Szteren D.",Predation of South American sea lions (Otaria flavescens) on artisanal fisheries in the Rio de la Plata estuary,2014,Fisheries Research,10.1016/j.fishres.2013.09.006,obs_1,academia,-34 52 00,-35 20 00,-56 30 00,-54 00 00,Rio de la Plata,Uruguay,0,0,0,Otaria,flavescens,NA,small,net,NA,1,near,obs_onboard,T1,1.5,0.5495,82,0.0749,25.825,82,0,,"Interactions here defined from fishing events once more (which are not time-specific - time taken from another study from very similar place/system). Damage Numbers are from the minimum scenario that was actually observed. However, Maximum potential catch is given too based on assumed maxima of sea lion consumption. Values are averaged over 3 small ports. They report 4 other papers that give proportions of interactions in other South American Countries. Most of these we already have in our Review 2 file which is really good. One of them (Fazio, A., Palmerio, A., Mendez, M., Botta, S., Bordino, P., 2000. Interacción
entre lobos marinos de un pelo Otaria flavescens y la pesquería artesanal de Cabo San Antonio, Buenos Aires, Argentina.) is in Spanish so didn't come up in teh review - something to chat about? These papers haven't been assessed or extracted yet. 3-4 more data points???",
KD,JJ,acc_072,"Fjalling A., Wahlberg M., Westerberg H.","Acoustic harassment devices reduce seal interaction in the Baltic salmon-trap, net fishery",2006,ICES Journal of Marine Science,10.1016/j.icesjms.2006.06.015,obs_1,fisheries,68 00 00,60 50 00,16 00 00,23 00 00,Baltic,Sweden,1,0,0,Halichoerus,grypus,2,small,other,NA,1,near,obs_onboard,T2; F6,1,NA,NA,0.558333333,1.1428,493,1,Quantification of gear losses as well as catch loss. Also split by Fish species. And estimate economic value lost too.,Damage recorded here is the kg of fish per day lost. so percentage is the mean of damaged catch codes in the no AHD rows vs mean of total sd dmg is the meand sd calculated from 95% confidence limits over the three years in Figure 6. See Extraction table for Figures tab for precise estimates. No interaction data is given as these are net traps.,
